Classifier,Accuracy (%),Precision (%),F1 Score (%),Recall (%),Area Under the Curve
KNN,95.788,98.087,90.56400000000001,94.03999999999999,0.9896248196248196
Logistic Regression,97.546,97.63399999999999,95.737,96.628,0.9942219817219818
Multilayer Perceptron,95.96600000000002,95.768,93.39900000000002,94.50899999999999,0.9935619803476946
Random Forest,95.80800000000002,94.72200000000001,94.352,94.44399999999999,0.990345375523947
SVM,98.41900000000001,99.524,96.213,97.803,0.9957716622002335
Gaussian Naive Bayes,94.57900000000002,93.41,92.446,92.75,0.9836126571840857
